Unnamed: 0,School Name,URL,City,State,svg_file_path
1549,Rhode Island College,http://ric.edu,Providence,RI,logos/Rhode_Island_College/Rhode_Island_College.svg
1550,Rhose Island School of Design,http://risd.edu,Providence,RI,logos/Rhose_Island_School_of_Design/Rhose_Island_School_of_Design.svg
1551,Roger Williams University,http://rwu.edu,Bristol,RI,logos/Roger_Williams_University/Roger_Williams_University.svg
1552,University of Rhode Island,http://uri.edu,Kingston,RI,logos/University_of_Rhode_Island/University_of_Rhode_Island.svg
1553,Centura College,http://centura.edu,Columbia,SC,logos/Centura_College/Centura_College.svg
1554,The Citadel Military College of South Carolina,http://citadel.edu,Charleston,SC,logos/The_Citadel_Military_College_of_South_Carolina/The_Citadel_Military_College_of_South_Carolina.svg
1555,Columbia International University,http://ciu.edu,Columbia,SC,logos/Columbia_International_University/Columbia_International_University.svg
1556,Clemson University,http://clemson.edu,Clemson,SC,logos/Clemson_University/Clemson_University.svg
1557,Coastal Carolina University,http://coastal.edu,Conway,SC,Fail
1558,College of Charleston,http://cofc.edu,Charleston,SC,logos/College_of_Charleston/College_of_Charleston.svg
1559,Coker College,http://coker.edu,Hartsville,SC,logos/Coker_College/Coker_College.svg
1560,Columbia College South Carolina,http://columbiasc.edu,Columbia,SC,logos/Columbia_College_South_Carolina/Columbia_College_South_Carolina.svg
1561,Florence-Darlington Technical College,http://fdtc.edu,Florence,SC,logos/Florence_Darlington_Technical_College/Florence_Darlington_Technical_College.svg
1562,Francis Marion University,http://fmarion.edu,Florence,SC,logos/Francis_Marion_University/Francis_Marion_University.svg
1563,Forrest College,http://forrestcollege.edu,Anderson,SC,logos/Forrest_College/Forrest_College.svg
1564,Furman University,http://furman.edu,Greenville,SC,logos/Furman_University/Furman_University.svg
1565,Lander University,http://lander.edu,Greenwood,SC,logos/Lander_University/Lander_University.svg
1566,Limestone College,http://limestone.edu,Gaffney,SC,logos/Limestone_College/Limestone_College.svg
1567,Midlands Technical College,http://midlandstech.edu,Columbia,SC,logos/Midlands_Technical_College/Midlands_Technical_College.svg
1568,Medical University of South Carolina,http://musc.edu,Charleston,SC,logos/Medical_University_of_South_Carolina/Medical_University_of_South_Carolina.svg
1569,Newberry College,http://newberry.edu,Newberry,SC,logos/Newberry_College/Newberry_College.svg
1570,North Greenville University,http://ngu.edu,Tigerville,SC,logos/North_Greenville_University/North_Greenville_University.svg
1571,Orangeburg-Calhoun Technical College,http://octech.edu,Orangeburg,SC,logos/Orangeburg_Calhoun_Technical_College/Orangeburg_Calhoun_Technical_College.svg
1572,Presbyterian College,http://presby.edu,Clinton,SC,logos/Presbyterian_College/Presbyterian_College.svg
1573,University of South Carolina,http://sc.edu,Columbia,SC,logos/University_of_South_Carolina/University_of_South_Carolina.svg
1574,South Carolina State University,http://scsu.edu,Oorangeburg,SC,logos/South_Carolina_State_University/South_Carolina_State_University.svg
1575,Sinte Gleska University,http://sintegleska.edu,Mission,SC,Fail
1576,Spartanburg Methodist College,http://smcsc.edu,Spartanburg,SC,logos/Spartanburg_Methodist_College/Spartanburg_Methodist_College.svg
1577,TriCounty Technical College,http://tctc.edu,Pendleton,SC,logos/TriCounty_Technical_College/TriCounty_Technical_College.svg
1578,University of South Carolina Aiken,http://usca.edu,Aiken,SC,logos/University_of_South_Carolina_Aiken/University_of_South_Carolina_Aiken.svg
1579,University of South Carolina Beaufort,http://uscb.edu,Beaufort,SC,logos/University_of_South_Carolina_Beaufort/University_of_South_Carolina_Beaufort.svg
1580,University of South Carolina Upstate,http://uscupstate.edu,Spartanburg,SC,logos/University_of_South_Carolina_Upstate/University_of_South_Carolina_Upstate.svg
1581,Winthrop University,http://winthrop.edu,Rock Hill,SC,logos/Winthrop_University/Winthrop_University.svg
1582,Wofford College,http://wofford.edu,Spartanburg,SC,logos/Wofford_College/Wofford_College.svg
1583,York Technical College,http://yorktech.edu,Rock Hill,SC,Fail
1584,Bob Jones University,http://bju.edu,Greenville,SC,logos/Bob_Jones_University/Bob_Jones_University.svg
1585,Anderson University,http://andersonuniversity.edu,Anderson,SC,logos/Anderson_University/Anderson_University.svg
1586,Black Hills State University,http://bhsu.edu,Spearfish,SD,logos/Black_Hills_State_University/Black_Hills_State_University.svg
1587,Dakota State University,http://dsu.edu,Madison,SD,logos/Dakota_State_University/Dakota_State_University.svg
1588,Dakota Wesleyan University,http://dwu.edu,Mitchell,SD,Fail
1589,Mount Marty College,http://mtmc.edu,Yankton,SD,logos/Mount_Marty_College/Mount_Marty_College.svg
1590,Northern State University,http://northern.edu,Aberdeen,SD,logos/Northern_State_University/Northern_State_University.svg
1591,South Dakota School of Mines and Technology,http://sdsmt.edu,Rapid City,SD,logos/South_Dakota_School_of_Mines_and_Technology/South_Dakota_School_of_Mines_and_Technology.svg
