,School Name,URL,City,State
1456,Drexel University College of Medicine,http://drexelmed.edu,Philadelphia,PA
1457,Duquesne University,http://duq.edu,Pittsburgh,PA
1458,Eastern University,http://eastern.edu,Saint Davids,PA
1459,Edinboro University,http://edinboro.edu,Edinboro,PA
1460,Elizabethtown College,http://etown.edu,Elizabethtown,PA
1461,Evangelical Seminary,http://evangelical.edu,Myerstown,PA
1462,Franklin & Marshall College,http://fandm.edu,Lancaster,PA
1463,Saint Francis University,http://francis.edu,Loretto,PA
1464,Grove City College,http://gcc.edu,Grove City,PA
1465,Geneva College,http://geneva.edu,Beaver Falls,PA
1466,Gettysburg College,http://gettysburg.edu,Gettysburg,PA
1467,Harrisburg Area Community College,http://hacc.edu,Harrisburg,PA
1468,Haverford College,http://haverford.edu,Haverford,PA
1469,Holy Family University,http://holyfamily.edu,Philadelphia,PA
1470,Indiana University of Pennsylvania,http://iup.edu,Indiana,PA
1471,Thomas Jefferson University,http://jefferson.edu,Philadelphia,PA
1472,Juniata College,http://juniata.edu,Huntingdon,PA
1473,Keystone College,http://keystone.edu,La Plume,PA
1474,King's College,http://kings.edu,Wilkes-Barre,PA
1475,Kutztown University,http://kutztown.edu,Kutztown,PA
1476,Lackawanna College,http://lackawanna.edu,Scranton,PA
1477,Lafayette College,http://lafayette.edu,Easton,PA
1478,Lancaster County Career and Technology Center,http://lancasterctc.edu,Willow Street,PA
1479,Lancaster Theological Seminary,http://lancasterseminary.edu,Lancaster,PA
1480,La Roche College,http://laroche.edu,Pittsburgh,PA
1481,La Salle University,http://lasalle.edu,Philadelphia,PA
1482,Lehigh Carbon Community College,http://lccc.edu,Schnecksville,PA
1483,Lake Erie College of Osteopathic Medicine,http://lecom.edu,Erie,PA
1484,Lehigh University,http://lehigh.edu,Bethlehem,PA
1485,Lock Haven University,http://lhup.edu,Lock Haven,PA
1486,The Lincoln University,http://lincoln.edu,Lincoln University,PA
1487,Lansdale School of Business,http://lsb.edu,North Wales,PA
1488,Lebanon Valley College,http://lvc.edu,Annville,PA
1489,Lycoming College,http://lycoming.edu,Williamsport,PA
1490,Manor College,http://manor.edu,Jenkintown,PA
1491,Mansfield University,http://mansfield.edu,Mansfield,PA
1492,Marywood University,http://marywood.edu,Scranton,PA
1493,Montgomery County Community College,http://mc3.edu,Blue Bell,PA
1494,Mercyhurst University,http://mercyhurst.edu,Erie,PA
1495,Messiah College,http://messiah.edu,Mechanicsburg,PA
1496,Millersville University,http://millersville.edu,Millersville,PA
1497,Misericordia University,http://misericordia.edu,Dallas,PA
1498,Moravian College,http://moravian.edu,Bethlehem,PA
1499,Mount Aloysius College,http://mtaloy.edu,Cresson,PA
1500,Muhlenberg College,http://muhlenberg.edu,Allentown,PA
1501,Neumann University,http://neumann.edu,Aston,PA
1502,Northampton Community College,http://northampton.edu,Bethlehem,PA
1503,Pennsylvania Gunsmith School,http://pagunsmith.edu,Pittsburgh,PA
