,Unnamed: 0,Name,URL,logo_wiki_page,logo_src,svg_file_path
216,217,PBF Energy,www.pbfenergy.com,https://en.wikipedia.org/wiki/File:Duke_Energy_logo.svg,//upload.wikimedia.org/wikipedia/en/2/2e/Duke_Energy_logo.svg,logos/PBF_Energy/PBF_Energy.svg
217,218,Yum Brands,www.yum.com,https://commons.wikimedia.org/wiki/File:Yum!_Brands_logo.svg,https://upload.wikimedia.org/wikipedia/commons/5/59/Yum%21_Brands_logo.svg,logos/Yum_Brands/Yum_Brands.svg
218,219,Texas Instruments,www.ti.com,https://sco.wikipedia.org/wiki/File:Texas_Instruments_Logo.svg,//upload.wikimedia.org/wikipedia/sco/9/95/Texas_Instruments_Logo.svg,logos/Texas_Instruments/Texas_Instruments.svg
219,220,CDW,www.cdw.com,https://commons.wikimedia.org/wiki/File:CDW_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/be/CDW_Logo.svg,logos/CDW/CDW.svg
220,221,Waste Management,www.wm.com,https://commons.wikimedia.org/wiki/File:Waste_Management_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/88/Waste_Management_logo.svg,logos/Waste_Management/Waste_Management.svg
221,222,Marsh & McLennan,www.mmc.com,https://en.wikipedia.org/wiki/File:Marsh_%26_McLennan_Companies_logo.svg,//upload.wikimedia.org/wikipedia/en/3/39/Marsh_%26_McLennan_Companies_logo.svg,logos/Marsh_McLennan/Marsh_McLennan.svg
222,223,Chesapeake Energy,www.chk.com,https://en.wikipedia.org/wiki/File:Duke_Energy_logo.svg,//upload.wikimedia.org/wikipedia/en/2/2e/Duke_Energy_logo.svg,logos/Chesapeake_Energy/Chesapeake_Energy.svg
223,224,Parker-Hannifin,www.parker.com,https://en.wikipedia.org/wiki/File:Diy_logo.svg,//upload.wikimedia.org/wikipedia/en/4/4a/Diy_logo.svg,logos/Parker_Hannifin/Parker_Hannifin.svg
224,225,Occidental Petroleum,www.oxy.com,https://en.wikipedia.org/wiki/File:Occidental_Logo.svg,//upload.wikimedia.org/wikipedia/en/9/9e/Occidental_Logo.svg,logos/Occidental_Petroleum/Occidental_Petroleum.svg
225,226,Guardian Life Ins. Co. of America,www.guardianlife.com,Missing,Missing,Fail
